TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
14,69921875	73,2	0	1	1439,125	52	25,45	93	98,03125	25	139902880	943	-25,4009993	-49,2474411	5231	
15,3984375	76,8	0	1	1437,75	57	29,65	93	98,03125	25	139902890	943	-25,4006362	-49,2471176	7542	
15,796875	73,2	0	1	1437,25	51	26,4	93	98,03125	25	139902890	943	-25,4006362	-49,2471176	6056	
16	67,2	0	1	1402,25	41	23,6	93	98,03125	25	139902900	944,75	-25,4006362	-49,2471176	5815	
15,69921875	63,2	0	1	1393	35	21,95	93	98,46875	25	139902900	944,75	-25,4006362	-49,2471176	5269	
15,5	66,8	0	1	1419,125	40	25,2	93	98,46875	25	139902915	943,875	-25,4006362	-49,2471176	7865	
15,19921875	66	0	1	1367,625	40	23	93	98,46875	25	139902915	944,625	-25,4006362	-49,2471176	6050	
14,796875	61,6	0	1	1292,5	35	19,2	93	98,46875	25	139902920	943,25	-25,4006362	-49,2471176	5880	
14,796875	99,6	0	1	1582,875	80	47,9	93	98,46875	25	139902920	945	-25,4006362	-49,2471176	5308	
16,8984375	100	0	1	1802	83	61,9	93	98,46875	25	139902920	945	-25,4006362	-49,2471176	7954	
19,19921875	100	0	1	1627,25	76	60,3	93	98,46875	25	139902930	946	-25,4006362	-49,2471176	6026	
20,69921875	100	0	2	1065,25	78	33,95	93	98,46875	25	139902930	944,625	-25,4006362	-49,2471176	6078	
21,8984375	100	0	2	1111,5	86	40,7	93	98,46875	25	139902945	946,125	-25,4006055	-49,2470907	5168	
23	100	0	2	1165,25	87	42,65	93	98,46875	25	139902945	946,125	-25,4006055	-49,2470907	7764	
23,796875	100	0	2	1209,25	87	44,45	93	98,46875	25	139902950	946	-25,4004663	-49,246947	6058	
24,796875	100	0	2	1255,75	86	45,35	93	98,46875	25	139902950	946	-25,4004663	-49,246947	5964	
25,5	100	0	2	1294,875	87	47,65	93	98,46875	25	139902980	947,75	-25,4004513	-49,2469028	5722	
26,5	100	0	2	1340,125	88	50,1	93	98,46875	25	139902980	947,75	-25,4004513	-49,2469028	8535	
27,296875	100	0	2	1387,5	88	51,5	94	98,59375	25	139902980	948	-25,4003605	-49,2468091	6139	
28,3984375	100	0	2	1439,75	88	53,65	94	98,59375	25	139902985	948	-25,4003605	-49,2468091	6036	
29,3984375	100	0	2	1490	89	56,1	94	98,59375	25	139902985	948	-25,4003011	-49,2467697	5193	
30,3984375	100	0	2	1534,5	80	48,6	94	98,59375	25	139903000	948,75	-25,4001969	-49,2466727	7887	
30,3984375	100	0	2	1127,125	74	34,9	94	98,59375	25	139903000	949,375	-25,4001367	-49,2466188	6073	
30,796875	100	0	3	1143,25	97	47,5	94	98,75	25	139903025	949,75	-25,4000785	-49,246564	5810	
31,296875	100	0	3	1163,125	97	48,35	94	98,75	25	139903025	949,75	-25,4000785	-49,246564	5244	
31,8984375	100	0	3	1187,75	97	49,2	94	98,75	25	139903045	950,375	-25,400021	-49,2465149	7240	
32,796875	100	0	3	1222,25	97	50,35	94	98,75	25	139903045	951,125	-25,400021	-49,2465149	5868	
33,796875	82,8	0	3	1262,5	85	43,4	94	98,75	25	139903045	951,375	-25,3999567	-49,2464578	6211	
34,5	86	0	3	1278,75	73	45,95	94	98,75	25	139903070	951,375	-25,3998987	-49,2463989	5397	
35,09765625	65,6	0	3	1299,125	34	21,45	94	98,875	25	139903070	952	-25,3998987	-49,2463989	7865	
35,19921875	63,6	0	3	1321,375	39	18,2	94	98,875	25	139903090	952	-25,3996467	-49,2461561	6084	
35,69921875	70,8	0	4	984,125	46	20,7	94	98,875	25	139903090	953,875	-25,3996467	-49,2461561	5730	
36,296875	47,2	0	4	991,75	30	10,7	94	98,875	25	139903100	953,875	-25,3996467	-49,2461561	5308	
37,09765625	47,6	0	4	1013,75	24	10,45	94	99	25	139903100	953,75	-25,3995171	-49,2460376	7314	
37,5	52,4	0	4	1024	21	8,1	94	99	25	139903140	953,5	-25,3993647	-49,2459229	6737	
38,59765625	68,8	102	4	1064,25	44	12,6	94	99	25	139903140	953,5	-25,3993647	-49,2459229	5761	
40,09765625	53,6	0	4	1100,75	26	13	94	99	25	139903150	953,5	-25,3992879	-49,2458672	5932	
41,296875	74,8	0	4	1126	59	31,4	95	99	25	139903150	952,75	-25,3991316	-49,2457526	7731	
43,19921875	65,6	0	4	1181,5	51	23	95	99,15625	25	139903150	953,125	-25,3990556	-49,2456806	6246	
44,19921875	58,4	0	4	1206,5	27	14,95	95	99,15625	24,90625	139903170	952,375	-25,3989795	-49,24561	5926	
45,5	59,6	0	4	1251	32	14,8	94	99,15625	24,90625	139903170	952,375	-25,3989795	-49,24561	5257	
46,59765625	57,2	0	4	1273,625	31	15,4	94	99,15625	24,90625	139903210	952,25	-25,3989795	-49,24561	8328	
48	63,6	0	4	1304,375	34	25,35	94	99,15625	24,90625	139903210	952	-25,3989053	-49,2455346	6008	
49,296875	80	0	4	1345,75	50	27,45	94	99,15625	24,90625	139903235	952	-25,3988248	-49,2454527	5615	
51	68,8	0	4	1398,75	39	26,4	94	99,5625	24,90625	139903235	950,375	-25,3986529	-49,2452822	5486	
51,3984375	0	0	4	1404,875	0	0	94	99,5625	24,90625	139903275	951	-25,3984788	-49,2451188	8508	
51,69921875	0	0	4	1414,375	0	0	94	99,5625	24,90625	139903275	951	-25,3984788	-49,2451188	6042	
52	0	0	4	1421,75	0	0	94	99,5625	24,90625	139903275	949,875	-25,3982656	-49,2449416	5769	
52,296875	0	0	4	1429,125	0	0	94	99,5625	24,90625	139903290	949,875	-25,3982656	-49,2449416	5626	
52,5	0	0	4	1434,875	0	0	94	99,71875	24,90625	139903290	949,25	-25,3980555	-49,2447454	7720	
53	0	0	4	1447,25	0	0	94	99,71875	24,71875	139903320	949,25	-25,3980555	-49,2447454	6162	
53,19921875	0	0	4	1454,875	0	0	94	99,71875	24,71875	139903320	948	-25,3979594	-49,2446637	5836	
53,3984375	0	0	4	1460,5	0	0	94	99,71875	24,71875	139903365	947,125	-25,3977692	-49,2444747	5613	
53,796875	0	0	4	1472	0	0	94	99,71875	24,71875	139903365	947,125	-25,3977692	-49,2444747	7586	
53,796875	0	0	4	1469,125	0	0	94	100	24,71875	139903395	946,375	-25,3977692	-49,2444747	6088	
54	0	0	4	1476,625	0	0	94	100	24,71875	139903395	946,375	-25,3976682	-49,2443782	5704	
54	0	0	4	1478,25	0	0	94	100	24,71875	139903395	945,5	-25,3974596	-49,244187	5779	
53,69921875	0	0	4	1468,25	0	0	94	100	24,71875	139903440	945,5	-25,3974596	-49,244187	7626	
54,09765625	0	0	4	1481,625	0	0	94	100	24,71875	139903440	945,25	-25,3974596	-49,244187	6062	
53,796875	0	0	4	1469	0	0	94	100,125	24,71875	139903440	944,5	-25,397152	-49,2439078	5350	
53,59765625	0	0	4	1467,625	0	0	93	100,125	24,71875	139903470	944,75	-25,3969428	-49,2437071	5766	
53,5	0	0	4	1462,375	0	0	93	100,125	24,71875	139903470	944,75	-25,3969428	-49,2437071	7039	
53	0	0	4	1440,125	0	0	93	100,125	24,71875	139903485	944,5	-25,3967523	-49,2435098	6140	
52,296875	0	0	4	1431,375	0	0	93	100,125	24,71875	139903485	944,75	-25,3967523	-49,2435098	6433	
51,5	0	0	4	1396,25	0	0	93	100,53125	24,71875	139903545	944,625	-25,3966584	-49,2434098	6435	
50,5	0	0	4	1379	0	0	93	100,53125	24,71875	139903545	944,875	-25,3964592	-49,2432158	7263	
49,59765625	0	0	4	1348,25	0	0	93	100,53125	24,71875	139903555	944,875	-25,3964592	-49,2432158	6140	
48,69921875	0	0	4	1329,25	0	0	93	100,53125	24,71875	139903555	945	-25,3964592	-49,2432158	5813	
47,59765625	0	0	4	1303,5	0	0	93	100,53125	24,71875	139903555	945,125	-25,3962655	-49,2430504	5537	
46,69921875	0	0	4	1276,5	0	0	93	100,53125	24,71875	139903610	945,375	-25,3962655	-49,2430504	7743	
45,8984375	28,4	0	4	1250,75	2	1,05	93	100,53125	24,71875	139903610	945,375	-25,3961658	-49,2429642	6081	
