TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]	
46,3984375	38,4	0	4	1260,625	6	2,1	86	90,40625	24	139886580	931,5	-25,3927466	-49,2398291	6209	
44,796875	0	0	4	1224,75	0	0	86	90,40625	24	139886580	932	-25,3928345	-49,2399107	5484	
43	0	0	4	1174,375	0	0	86	90,6875	24	139886605	932,25	-25,3929221	-49,2399905	5996	
40,59765625	0	0	4	1111,75	0	0	86	90,6875	24	139886605	933,125	-25,3930042	-49,2400672	7193	
38,09765625	0	0	4	1041,5	0	0	86	90,6875	24	139886645	934,125	-25,3930825	-49,2401387	6226	
35,5	0	16,4	4	963,5	0	0	86	90,6875	24	139886645	934,75	-25,3931545	-49,2402092	5614	
32,5	0	16,8	4	859,625	0	0	86	90,6875	24	139886665	935	-25,393224	-49,2402762	6098	
29,5	0	18	3	1072,375	0	0	86	90,6875	24	139886665	935,375	-25,3932853	-49,2403415	7242	
26,19921875	0	16,4	3	1325,5	0	0	86	90,8125	24	139886690	936,375	-25,3933384	-49,2404062	6275	
22,3984375	0	0	2	1129,625	0	0	86	90,8125	24	139886690	936,5	-25,3933775	-49,2404619	5614	
19,69921875	35,6	0	2	1000,75	10	2,6	86	90,8125	24,09375	139886700	936,5	-25,3933775	-49,2404619	6098	
18,19921875	45,6	0	2	919,625	27	9,7	86	90,8125	24,09375	139886700	936,75	-25,3934195	-49,2405114	7242	
16,19921875	51,2	0	2	1205,375	24	11,6	86	90,8125	24,09375	139886700	936,875	-25,3935266	-49,2406086	6275	
14,59765625	49,6	0	1	1197,625	20	10,3	87	90,8125	24,09375	139886710	937	-25,3935266	-49,2406086	5614	
13,19921875	45,6	0	1	1048,5	22	8,7	87	91,09375	24,09375	139886710	937	-25,3935554	-49,2406353	6098	
11,8984375	42,8	0	1	960,375	21	8,25	87	91,09375	24,09375	139886725	937,375	-25,3935812	-49,2406599	7242	
10,5	26,4	0	1	844,875	10	4,35	87	91,09375	24,09375	139886725	937,25	-25,3935812	-49,2406599	6275	
8,796875	0	0	1	608,625	14	3,05	87	91,09375	24,09375	139886730	937,25	-25,393625	-49,2406994	5614	
6,5	0	16,4	1	624,625	12	3,2	87	91,09375	24,09375	139886730	937,375	-25,393625	-49,2406994	5677	
4,3984375	0	29,2	1	600,5	9	2,1	87	91,375	24,09375	139886740	937,25	-25,3936576	-49,2407304	7576	
1,5	0	27,6	1	598,25	10	2,3	87	91,375	24,09375	139886740	937,25	-25,3936576	-49,2407304	6084	
0,3984375	0	30,8	1	602,375	10	2,25	87	91,375	24,09375	139886740	937,125	-25,3936731	-49,2407398	5818	
0	0	30,4	1	596,75	10	2,35	87	91,375	24,09375	139886740	937,125	-25,3936731	-49,2407398	5435	
0	0	30,8	1	600,25	10	2,4	87	91,375	24,09375	139886740	937,125	-25,3936731	-49,2407452	7632	
0	0	30,8	1	600,625	10	2,3	87	91,375	24,09375	139886740	936,875	-25,3936731	-49,2407452	6066	
0	0	30,8	1	598,375	10	2,4	87	91,375	24,09375	139886740	936,875	-25,3936867	-49,2407471	5794	
0	0	28,8	1	602,375	10	2,35	87	91,78125	24,40625	139886740	936,75	-25,3936867	-49,2407471	5397	
0	0	14,8	1	600,5	10	2,35	87	91,78125	24,40625	139886740	936,625	-25,393693	-49,2407482	7610	
0	0	0	1	595	10	2,45	87	91,78125	24,40625	139886740	936,75	-25,3936951	-49,2407482	6074	
0	0	102	1	600,125	10	2,45	87	91,78125	24,40625	139886740	936,75	-25,3936963	-49,240747	5794	
0	0	0	1	603,25	10	2,35	87	91,78125	24,40625	139886740	937	-25,3936963	-49,240747	5409	
0	0	0	1	600,375	10	2,3	87	91,78125	24,40625	139886740	937	-25,3936963	-49,2407461	7586	
0	0	0	1	600,125	10	2,35	87	91,9375	24,40625	139886740	937,125	-25,3936953	-49,2407462	6082	
0	0	0	1	601,875	10	2,3	87	91,9375	24,3125	139886740	937,25	-25,3936945	-49,2407462	5794	
0	0	0	1	600,625	10	2,3	87	91,9375	24,3125	139886740	937,375	-25,3936938	-49,2407462	5422	
0	0	0	1	599,75	10	2,3	87	91,9375	24,3125	139886740	937,375	-25,3936938	-49,2407462	7586	
0	0	0	1	600	10	2,3	87	91,9375	24,3125	139886740	937,5	-25,3936938	-49,2407462	6082	
0	0	0	1	600,875	10	2,3	87	91,9375	24,40625	139886740	937,5	-25,3936932	-49,2407461	5794	
0	0	0	1	600,5	10	2,25	87	91,9375	24,40625	139886740	937,5	-25,3936932	-49,2407461	5422	
0	0	102	1	600,875	10	2,3	87	91,9375	24,40625	139886740	937,5	-25,3936923	-49,2407456	7586	
0	0	102	1	601	10	2,3	87	91,9375	24,40625	139886740	937,5	-25,3936923	-49,2407456	6082	
0	0	0	1	598,625	10	2,3	87	91,9375	24,40625	139886740	937,5	-25,3936923	-49,2407456	5794	
0	0	0	1	601,875	10	2,3	87	91,9375	24,59375	139886740	937,5	-25,3936923	-49,2407456	5422	
0	0	0	1	600,5	10	2,3	87	91,9375	24,59375	139886740	937,5	-25,3936923	-49,2407456	7586	
0	0	102	1	600,125	10	2,3	87	91,9375	24,59375	139886740	937,5	-25,3936923	-49,2407456	6082	
0	0	102	1	599,5	10	2,3	87	91,9375	24,59375	139886740	937,5	-25,3936923	-49,2407457	5794	
0	0	0	1	601	10	2,3	87	91,9375	24,59375	139886740	937,5	-25,3936923	-49,2407457	5422	
0	0	0	1	598,25	10	2,3	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407457	7586	
0	0	102	1	598	10	2,25	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407457	6082	
0	0	0	1	598,625	10	2,3	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407457	5794	
0	0	0	1	600,25	10	2,25	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407457	5422	
0	0	102	1	598	10	2,3	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407457	7586	
0	0	102	1	598,25	10	2,3	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407457	6082	
0	0	102	1	598,5	10	2,25	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407456	5794	
0	0	102	1	598,625	10	2,3	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407456	5422	
0	0	0	1	597,125	10	2,3	87	91,78125	24,59375	139886740	937,5	-25,3936923	-49,2407456	7586	
0	0	0	1	600,25	10	2,25	87	91,5	24,59375	139886740	937,625	-25,393693	-49,2407457	6082	
0	0	0	1	597,375	10	2,3	87	91,5	24,59375	139886740	937,75	-25,393693	-49,2407457	5794	
0	0	0	1	598,125	10	2,3	86	91,5	24,59375	139886740	937,75	-25,393693	-49,2407457	5435	
0	0	0	1	599,75	10	2,25	86	91,5	24,59375	139886740	937,625	-25,3936928	-49,2407454	7575	
0	0	102	1	598,625	10	2,25	86	91,5	24,59375	139886740	937,5	-25,3936915	-49,2407438	6082	
0	0	0	1	598,75	10	2,25	86	91,375	24,59375	139886740	937,5	-25,393692	-49,2407436	5794	
0	0	102	1	599	10	2,25	86	91,375	24,59375	139886740	937,5	-25,393692	-49,2407436	5435	
0	0	0	1	598,625	10	2,25	86	91,375	24,59375	139886740	938,25	-25,3936929	-49,2407462	7586	
0	0	102	1	599,25	10	2,3	86	91,375	24,59375	139886740	938,125	-25,3936934	-49,2407478	6082	
0	0	102	1	600,5	10	2,25	86	91,375	24,71875	139886740	938,125	-25,3936934	-49,2407478	5794	
0	0	102	1	599,125	10	2,25	86	91,375	24,71875	139886740	938,25	-25,393694	-49,2407491	5435	
0	0	102	1	599,375	10	2,3	86	90,96875	24,71875	139886740	938,25	-25,3936941	-49,2407491	7575	
0	0	0	1	601,25	10	2,25	86	90,96875	24,71875	139886740	938,125	-25,3936944	-49,2407485	6082	
0	0	102	1	599	10	2,25	86	90,96875	24,90625	139886740	938	-25,3936953	-49,2407471	5794	
0	0	0	1	601,75	10	2,25	86	90,96875	24,90625	139886740	938,125	-25,3936953	-49,2407461	5422	
0	0	102	1	601,875	10	2,25	86	90,96875	24,90625	139886740	938,125	-25,3936953	-49,2407461	7586	
0	0	0	1	599,25	10	2,25	86	90,96875	24,90625	139886740	938,125	-25,3936961	-49,2407451	6082	
0	0	0	1	601,5	10	2,3	86	90,96875	24,90625	139886740	938,125	-25,3936961	-49,2407451	5794	
0	0	0	1	601,375	10	2,25	86	90,8125	24,90625	139886740	938,125	-25,3936963	-49,240745	5422	
0	0	0	1	600,25	10	2,3	85	90,8125	24,90625	139886740	938,125	-25,3936964	-49,2407449	7586	
0	0	0	1	601,5	10	2,25	85	90,8125	24,90625	139886740	938,125	-25,3936964	-49,2407449	6082	
