Time[s]	TachographVehicleSpeed	AcceleratorPedalAPPosition1	BrakePedalPosition	CurrentGear	EngineSpeed	ActualEnginePercentTorque[percent]	D_FuelRate	EngineFuelRate	EngineCoolantTemperature	EngineOilTemperature[Celsius]	AmbientAirTemp[C]	HRVD_I_TotalVehiclDistancHighRes[m]	GPS_Altitude[m]	GPS_Latitude[deg_per_bit]	GPS_Longitude[deg_per_bit]	D_AxleWeight[kg]
0	0	0	30,8	1	599,5	10	39	2,3	87	95,40625	25,59375	139906545	913	-25,3769865	-49,2238522	5792
1	0	0	30,8	1	598,625	10	39	2,3	87	95,40625	25,59375	139906545	913	-25,3769865	-49,2238522	5613
2	0	0	31,2	1	600	10	39	2,3	87	95,25	25,8125	139906545	913	-25,3769863	-49,223852	7562
3	0	0	30,8	1	601,625	10	39	2,3	87	95,25	25,8125	139906545	913,125	-25,3769862	-49,2238518	6092
4	0	0	30,8	1	600,25	10	39	2,3	87	95,25	25,8125	139906545	913,125	-25,3769862	-49,2238518	5792
5	0	0	102	1	599,375	10	39	2,3	87	95,25	25,8125	139906545	913,125	-25,3769862	-49,2238518	5626
6	0	0	102	1	598,375	10	40	2,35	87	95,25	25,8125	139906545	913,25	-25,3769859	-49,2238516	7562
7	0,5	0	102	1	586,875	25	99	5,85	87	95,40625	25,8125	139906545	913,375	-25,3769855	-49,2238513	6095
8	2,19921875	10,4	102	1	601,875	23	91	5,4	87	95,40625	25,8125	139906545	913,375	-25,3769855	-49,2238513	5815
9	3,296875	38,8	0	1	614,875	27	99	5,85	87	95,40625	25,8125	139906545	913,375	-25,3769853	-49,2238512	5499
10	4,59765625	47,6	0	1	834,5	32	188	11,15	87	95,40625	25,8125	139906545	913,375	-25,3769853	-49,2238512	7674
11	6,5	47,6	0	1	899,625	30	191	11,3	87	95,40625	25,8125	139906545	913,375	-25,3769851	-49,2238511	6075
12	7,8984375	50	0	1	940	31	203	12,05	87	95,40625	25,8125	139906545	913,375	-25,3769842	-49,2238456	5772
13	9,3984375	49,2	0	1	988,125	29	197	11,65	87	95,40625	25,8125	139906550	912,875	-25,3769842	-49,2238456	5371
14	10,5	44,4	0	1	957,875	23	152	9	87	95,125	25,8125	139906550	912,5	-25,3769881	-49,2238115	7630
15	11,09765625	43,2	0	1	933,125	22	147	8,7	87	95,125	25,8125	139906550	913	-25,3769971	-49,223775	6060
16	11,59765625	40,4	102	1	926,625	20	132	7,8	86	95,125	25,8125	139906550	913	-25,3770026	-49,2237532	5882
17	11,796875	34,8	0	1	823,625	17	92	5,45	86	95,125	25,90625	139906560	912,625	-25,3770045	-49,223729	5626
18	11,8984375	41,6	102	1	870	23	134	7,95	86	95,125	25,90625	139906560	914,375	-25,3770066	-49,2236998	7630
19	12	40,4	102	1	919,375	20	135	8	86	95,125	25,90625	139906570	914,375	-25,3770066	-49,2236998	6080
20	12,09765625	44,4	0	1	921,375	24	142	8,4	86	95	25,90625	139906570	915,625	-25,3770071	-49,2236723	5986
21	12,19921875	47,6	0	1	1047,375	25	198	11,75	86	95	25,90625	139906570	917	-25,3770139	-49,2236111	5422
22	12	40,8	0	1	924,75	21	128	7,6	86	95	25,90625	139906575	917	-25,3770139	-49,2236111	7573
23	11,19921875	48	0	1	987,375	27	207	12,25	86	95	25,90625	139906575	917	-25,3770139	-49,2236111	6094
24	10,796875	42	0	1	919,25	22	130	7,7	86	95	25,90625	139906585	921,25	-25,3770139	-49,2236111	5832
25	11	54,4	102	1	985,125	36	201	11,9	86	95	25,90625	139906585	922,75	-25,3770262	-49,2235388	5358
26	11,5	53,6	0	1	1096,625	32	242	14,35	86	94,84375	25,90625	139906590	922,75	-25,3770414	-49,2234999	7629
27	12	49,2	0	1	1053,375	27	193	11,45	86	94,84375	25,90625	139906590	924,125	-25,3770414	-49,2234999	6149
28	12,296875	48	0	1	1025,75	25	180	10,65	86	94,84375	25,8125	139906595	924,125	-25,3771565	-49,2234004	5664
29	13	48	102	1	1051,5	25	184	10,9	86	94,84375	25,8125	139906595	926,875	-25,3771907	-49,2233933	5690
30	13,5	31,2	0	1	948,375	15	104	6,15	86	95	25,8125	139906595	926,875	-25,3771907	-49,2233933	7450
31	13,5	0	0	1	649,625	5	20	1,15	86	95	25,8125	139906610	929	-25,3772584	-49,2234146	6013
32	13,19921875	0	102	1	595,625	6	25	1,45	86	95	25,8125	139906610	929,75	-25,3772927	-49,2234324	5616
33	13,3984375	0	102	1	600,25	7	27	1,6	86	95	25,8125	139906610	929,125	-25,3772927	-49,2234324	5677
34	13,8984375	0	0	1	602,75	6	24	1,4	86	95	25,8125	139906610	930,375	-25,3773258	-49,2234533	7518
35	14,3984375	0	0	1	607,75	4	19	1,1	86	95	25,8125	139906620	931,25	-25,3773889	-49,2235005	6046
36	15	0	0	1	609,625	1	7	0,4	86	95	25,8125	139906620	931,25	-25,3773889	-49,2235005	5833
37	15,5	0	102	1	608	0	0	0	86	95	25,8125	139906630	931,625	-25,3774139	-49,2235287	5626
38	15,59765625	0	0	1	604,25	0	0	0	86	95	25,8125	139906630	932,5	-25,3774258	-49,223578	7540
39	15,5	0	102	1	605,875	0	0	0	86	95	25,8125	139906630	933,5	-25,3774258	-49,223578	6225
40	15,19921875	18,8	0	1	609,75	6	12	0,7	86	95	25,8125	139906640	933,5	-25,377437	-49,2236237	5813
41	14,8984375	32,4	0	1	775,75	16	84	4,95	86	95	25,8125	139906640	933,625	-25,377437	-49,2236237	5690
42	14,69921875	44,4	0	1	908,125	24	139	8,25	86	95	25,8125	139906655	933,625	-25,3774346	-49,2238092	7507
43	14,796875	47,2	0	1	1042,875	24	169	10	86	95,25	25,8125	139906655	934,625	-25,3774282	-49,2238532	6099
44	15,09765625	47,6	0	1	1062,875	24	164	9,7	86	95,25	25,8125	139906660	935	-25,3774282	-49,2238532	5727
45	15,5	46,4	102	1	1077,625	22	162	9,6	86	95,25	25,8125	139906660	935,125	-25,377422	-49,2239359	5766
46	15,69921875	41,2	0	1	1023	18	128	7,6	86	95,25	25,8125	139906665	934,875	-25,3774204	-49,2239768	7574
47	15,796875	42,4	0	1	1000,875	20	131	7,75	86	95,6875	25,8125	139906665	934,875	-25,3774192	-49,2240183	6039
48	15,796875	42	0	1	1014,375	19	132	7,8	86	95,6875	25,8125	139906665	934,875	-25,3774192	-49,2240183	5832
49	16	41,6	0	1	997	19	123	7,3	86	95,6875	25,59375	139906685	934,625	-25,3774177	-49,2241038	5397
50	16,09765625	46,4	102	1	1069,5	22	168	9,95	86	95,6875	25,59375	139906685	934,625	-25,3774168	-49,2241473	7663
51	16,3984375	46,8	102	1	1070,875	23	160	9,5	86	95,6875	25,59375	139906685	934,5	-25,3774159	-49,2241901	6037
52	16,5	0	102	1	870,75	0	0	0	86	95,6875	25,59375	139906685	934,5	-25,3774159	-49,2241901	5750
53	15,796875	0	102	1	669,5	0	0	0	86	95,8125	25,59375	139906700	933,5	-25,3774149	-49,224273	5728
54	14,8984375	0	102	1	618,625	1	4	0,2	86	95,8125	25,59375	139906700	933,75	-25,3774159	-49,2243156	7663
55	14,19921875	0	0	1	593,375	2	11	0,65	86	95,8125	25,59375	139906710	933,75	-25,3774159	-49,2243156	6133
56	13,59765625	0	0	1	589,375	5	21	1,2	86	95,8125	25,59375	139906710	933,875	-25,3774158	-49,2243996	5815
57	13,09765625	0	16,8	1	592,25	7	28	1,65	86	95,96875	25,59375	139906710	933,625	-25,3774137	-49,2244336	5664
58	12,59765625	0	24	1	595,375	8	32	1,9	86	95,96875	25,59375	139906715	933,625	-25,3774137	-49,2244336	7473
59	11,3984375	0	27,6	1	586,75	11	43	2,55	86	95,96875	25,59375	139906715	930,375	-25,3774096	-49,2244915	6083
60	9,296875	0	29,2	1	603,125	12	47	2,75	86	95,96875	25,59375	139906715	930	-25,3774087	-49,2245172	5880
61	5,8984375	0	36,4	1	600,75	12	46	2,7	86	95,96875	25,5	139906725	930,5	-25,3774092	-49,2245451	5664
62	1,8984375	0	102	1	599,875	12	46	2,7	86	96,09375	25,5	139906725	930,5	-25,3774094	-49,2245713	7473
63	0,59765625	0	21,6	1	600,25	11	44	2,6	86	96,09375	25,5	139906730	930,5	-25,3774094	-49,2245713	6083
64	0,296875	0	102	1	601,625	12	44	2,6	86	96,09375	25,5	139906730	930	-25,3774134	-49,2246098	5880
65	0	0	33,6	1	599,375	11	44	2,6	86	96,09375	25,5	139906730	930	-25,3774134	-49,2246098	5880
66	0	0	102	1	598,125	12	46	2,7	86	96,09375	25,5	139906730	929,5	-25,3774152	-49,2246141	5880
67	0	0	32	1	599,75	12	46	2,7	86	96,09375	25,5	139906730	929,125	-25,3774152	-49,2246141	6124
68	0	0	32	1	599,25	12	46	2,7	86	96,09375	25,5	139906730	928,625	-25,3774209	-49,2246029	5792
69	0	0	102	1	599,5	12	46	2,7	86	96,09375	25,5	139906730	928,625	-25,3774293	-49,2245934	5601
70	0	0	102	1	599,125	12	46	2,7	86	96,09375	25,5	139906730	928,375	-25,3774293	-49,2245934	7573
71	0	0	102	1	600,125	12	46	2,7	86	96,09375	25,5	139906730	928,625	-25,3774458	-49,2245805	6122
72	0	0	32	1	600,25	12	46	2,7	86	96,09375	25,5	139906730	928,625	-25,3774499	-49,2245807	5792
73	0	0	102	1	599,875	12	46	2,7	86	96,09375	25,5	139906730	928,75	-25,3774537	-49,2245814	5601
74	0	0	32	1	602,875	11	44	2,6	86	96,09375	25,5	139906730	928,75	-25,3774537	-49,2245814	7584
75	0	0	32,8	1	606,625	10	41	2,4	86	96,09375	25,5	139906730	928,5	-25,3774607	-49,224585	6123
76	0	0	102	1	583,625	12	39	2,3	86	96,09375	25,5	139906730	928,5	-25,3774607	-49,224585	5792
77	0,59765625	2	0	1	591	25	100	5,9	86	96,09375	25,5	139906730	928,5	-25,3774624	-49,2245861	5448
78	2,296875	3,6	0	1	603,375	23	91	5,4	86	96,09375	25,5	139906730	928,5	-25,377464	-49,224587	7674
79	3,5	21,2	102	1	605,25	22	88	5,2	86	96,25	25,5	139906735	928,5	-25,3774643	-49,2245871	6093
80	4,296875	32	0	1	604,75	21	83	4,9	86	96,25	25,5	139906735	928,875	-25,3774633	-49,224593	5814
81	5,09765625	37,2	102	1	671,625	25	108	6,4	86	96,25	25,5	139906735	929,25	-25,3774633	-49,224593	5575
82	6,09765625	44,8	102	1	778,375	29	146	8,65	86	96,25	25,5	139906735	929,5	-25,3774628	-49,2246104	7630
83	7,5	46	102	1	902	27	179	10,6	86	96,25	25,5	139906740	929,5	-25,3774628	-49,2246232	6095
84	8,796875	46,4	102	1	915	27	171	10,15	86	96,25	25,5	139906740	929,5	-25,3774614	-49,2246388	5770
85	9,8984375	45,2	102	1	988	25	195	11,55	86	96,25	25,5	139906740	929,5	-25,3774605	-49,2246558	5601
86	10,796875	37,2	0	1	892,5	17	105	6,2	86	96,09375	25,5	139906740	930,25	-25,3774579	-49,2246774	7629
87	11,19921875	28,4	0	1	733,5	13	56	3,3	86	96,09375	25,5	139906740	931,125	-25,3774579	-49,2246774	6075
88	11,3984375	30	0	1	693,25	17	72	4,25	86	96,09375	25,5	139906745	932	-25,3774479	-49,2247386	5877
89	11,296875	4,8	0	1	640	11	44	2,6	86	96,09375	25,5	139906745	932,5	-25,3774399	-49,2247751	5690
90	11,59765625	0	0	1	607,625	10	42	2,45	86	96,09375	25,5	139906755	932,5	-25,3774399	-49,2247751	7529
91	11,69921875	0	0	1	605,25	9	35	2,05	86	96,09375	25,5	139906755	934	-25,3774277	-49,2248142	6062
92	12,09765625	0	0	1	603	8	33	1,95	86	96,09375	25,5	139906760	934,625	-25,3773918	-49,2248893	5723
93	12,296875	0	0	1	603,375	7	29	1,7	85	96,09375	25,5	139906760	934,625	-25,3773704	-49,2249233	5575
94	13	0	0	1	604,25	5	24	1,4	85	96,09375	25,59375	139906770	934,625	-25,3773704	-49,2249233	7697
95	13,59765625	0	102	1	604,625	4	18	1,05	85	96,09375	25,59375	139906770	935	-25,3773447	-49,2249607	6097
96	14,3984375	8,4	102	1	609,625	1	9	0,5	85	96,09375	25,59375	139906780	935,375	-25,3773447	-49,2249607	5876
97	15,3984375	28,8	102	1	812,375	11	77	4,55	85	96,09375	25,59375	139906780	935,375	-25,3773265	-49,2249937	5409
98	16,59765625	0	0	1	731,25	0	0	0	85	96,09375	25,59375	139906780	935,75	-25,3773265	-49,2249937	7596
99	16,796875	0	18	1	850,75	0	0	0	85	96,09375	25,5	139906785	935,75	-25,3772607	-49,2255358	6102
100	15,796875	0	20	2	799	0	0	0	85	95,53125	25,5	139906785	935,5	-25,3772607	-49,2255358	5483
101	16,3984375	0	0	2	831	0	0	0	85	95,53125	25,5	139906795	935,25	-25,3772607	-49,2255358	5741
102	17,296875	0	0	2	878,875	0	0	0	85	95,40625	25,5	139906795	935,25	-25,3772607	-49,2255358	7472
103	18,3984375	0	0	2	932,125	0	0	0	85	95,40625	25,5	139906805	935,25	-25,3772607	-49,2255358	6102
104	18,796875	20	0	2	951,5	0	0	0	85	95,40625	25,5	139906805	935	-25,3772607	-49,2255358	5483
105	20,19921875	48,8	0	2	1038,25	26	193	11,45	85	95,40625	25,5	139906820	934,75	-25,3772607	-49,2255358	5741
106	22,8984375	60	102	2	1159,5	37	285	16,9	85	95,40625	25,5	139906820	934,5	-25,3772607	-49,2255358	7472
107	25,59765625	66	102	2	1029,5	30	230	13,65	85	95,40625	25,5	139906820	934,25	-25,3772607	-49,2255358	6102
108	28,796875	66,4	102	3	1075,625	52	388	23	85	95,40625	25,5	139906830	933	-25,3772607	-49,2255358	5483
109	31,8984375	65,6	102	3	1184,75	35	332	19,7	85	95,40625	25,5	139906830	932,5	-25,3773391	-49,2256351	5626
110	35	62,4	102	4	961,125	51	359	21,3	85	95,40625	25,5	139906845	932,5	-25,3773391	-49,2256351	7942
111	37,8984375	61,6	0	4	1042,625	46	306	18,15	85	95,40625	25,5	139906845	931,125	-25,3774523	-49,2257459	6137
112	40,5	63,6	0	4	1112,5	46	349	20,7	85	95,40625	25,5	139906875	930,625	-25,3775112	-49,2258091	5881
113	42,59765625	62,4	102	4	1164,375	42	345	20,45	85	95,40625	25,5	139906875	930,625	-25,377578	-49,225882	5206
114	45,09765625	71,2	0	4	1235,875	57	483	28,65	85	95,40625	25,5	139906890	929,125	-25,377578	-49,225882	8008
115	47	70	0	4	1285,625	51	455	27	85	95,40625	25,5	139906890	929,375	-25,3777389	-49,2260337	6119
116	48,5	66	0	4	1325,875	42	453	26,85	85	95,40625	25,5	139906910	929,375	-25,3777389	-49,2260337	5967
117	49,09765625	67,2	0	4	1344,625	10	59	3,5	85	95,40625	25,5	139906910	929,5	-25,3778237	-49,2261063	5639
118	49,69921875	70,8	0	4	1358,25	32	270	16	85	95,40625	25,5	139906910	929	-25,3780025	-49,2262698	7518
119	51	63,2	0	4	1394,75	36	441	26,15	85	95,40625	25,5	139906950	928,5	-25,378097	-49,226355	6056
120	51,796875	11,2	102	4	1410	15	364	21,6	85	95,40625	25,5	139906950	928,5	-25,378097	-49,226355	5857
121	51,69921875	0	102	4	1412,75	0	0	0	85	95,40625	25,3125	139906980	928,625	-25,3781867	-49,2264408	5499
122	51,59765625	0	0	4	1411,75	0	0	0	85	95,40625	25,3125	139906980	928,625	-25,3782865	-49,2265269	8020
123	51,5	0	0	4	1408,125	0	0	0	85	95,40625	25,3125	139907025	926,75	-25,3783879	-49,2266106	6252
124	51,5	0	0	4	1408,625	0	0	0	85	95,40625	25,3125	139907025	925,5	-25,3783879	-49,2266106	5948
125	51,19921875	0	0	4	1398,125	0	0	0	85	95,40625	25,09375	139907050	925,5	-25,378493	-49,2266936	5957
126	51,296875	0	102	4	1406,375	0	0	0	85	95,40625	25,09375	139907050	924,125	-25,3788831	-49,2270447	7507
127	51,19921875	0	0	4	1397,375	0	0	0	85	95,40625	25,09375	139907050	924,125	-25,3788831	-49,2270447	6169
128	51	0	102	4	1394,875	0	0	0	85	95,40625	25,09375	139907065	920,75	-25,3789818	-49,2271388	5836
129	51,09765625	0	102	4	1398,875	0	0	0	85	95,25	25,09375	139907065	920,25	-25,3789818	-49,2271388	5537
130	50,8984375	0	0	4	1391,375	0	0	0	85	95,25	25	139907125	921	-25,3790831	-49,2272257	7596
131	50,8984375	0	0	4	1394,25	0	0	0	85	95,25	25	139907125	921	-25,3792985	-49,2274119	6163
132	50,796875	0	0	4	1391,375	0	0	0	85	95,25	25	139907135	920,875	-25,3793937	-49,2275033	5813
133	50,59765625	0	0	4	1379,25	0	0	0	85	95,25	25	139907135	920,125	-25,3794872	-49,2275916	6047
134	50,5	0	0	4	1383,75	0	0	0	85	95,125	25	139907180	920,875	-25,3795871	-49,2276851	7452
135	50,296875	0	0	4	1374,875	0	0	0	85	95,125	25	139907180	920,875	-25,3796771	-49,2277828	6273
136	50,09765625	0	0	4	1370,375	0	0	0	85	95,125	25	139907180	921,5	-25,3797671	-49,2278804	5616
137	50,09765625	0	0	4	1374,875	0	0	0	85	95,125	25	139907205	921	-25,3797671	-49,2278804	5804
138	50	0	0	4	1363,375	0	0	0	85	95,125	25	139907205	919,625	-25,3800473	-49,2281452	7809
139	50	0	0	4	1366,5	0	0	0	85	95,125	25	139907235	919,625	-25,3800473	-49,2281452	6170
140	49,8984375	0	102	4	1368,375	0	0	0	85	95,125	25	139907235	919,5	-25,3800473	-49,2281452	5881
141	49,796875	0	0	4	1352,125	0	0	0	86	95,125	25	139907275	918,875	-25,3802405	-49,228307	6007
142	49,296875	0	0	4	1347,75	0	0	0	86	95,125	25	139907275	919,125	-25,3803453	-49,2283898	7502
143	48,796875	0	0	4	1333,125	0	0	0	86	95,125	25	139907305	918,5	-25,3804444	-49,22847	6016
144	48,296875	0	102	4	1322	0	0	0	86	95,125	25	139907305	918,75	-25,380546	-49,2285495	5929
145	47,796875	54,4	0	4	1302,125	24	164	9,7	86	95,125	25	139907345	918,75	-25,380546	-49,2285495	5327
146	48,3984375	60,8	0	4	1324,125	33	324	19,2	86	95,125	25	139907345	919,5	-25,380642	-49,2286283	8467
147	48,796875	68,4	102	4	1335,875	47	364	21,6	86	95,125	25	139907345	919,5	-25,3808259	-49,2287904	6101
148	49,59765625	86,8	102	4	1357	74	669	39,7	86	95,125	25	139907360	919,75	-25,3809202	-49,2288779	6119
149	50,69921875	92	0	4	1383,375	78	695	41,25	86	95,125	25	139907360	919,75	-25,3809202	-49,2288779	5295
150	51,796875	85,6	102	4	1414,375	81	788	46,75	86	95,125	25	139907385	920,5	-25,3811008	-49,2290625	8780
151	52,69921875	83,6	102	4	1450,625	72	694	41,2	86	95,125	25	139907385	920,5	-25,3811008	-49,2290625	5958
152	53,3984375	88,8	0	4	1460,375	84	867	51,45	86	95,125	25	139907430	920,75	-25,3811008	-49,2290625	6438
153	54	89,6	0	4	1472,25	87	902	53,55	86	95,125	25	139907430	920,75	-25,3811931	-49,2291523	5308
154	54,19921875	90,8	102	4	1487	89	943	55,95	86	95,125	25	139907460	921,375	-25,3815984	-49,2295243	8669
155	54,3984375	86	0	4	1486,125	77	781	46,35	86	95,125	25	139907460	921,375	-25,3815984	-49,2295243	5922
156	54,59765625	88	0	4	1497,5	78	695	41,25	86	95,25	25	139907460	924,25	-25,3817008	-49,2296143	5682
157	54,59765625	87,2	102	4	1496,625	83	907	53,85	86	95,25	24,90625	139907490	924,875	-25,3818023	-49,2297104	5460
158	54,5	88	102	4	1479,625	83	890	52,8	86	95,25	24,90625	139907490	925,375	-25,3818023	-49,2297104	8043
159	54,296875	91,6	102	4	1487	88	920	54,6	86	95,125	24,90625	139907490	926,25	-25,3820009	-49,2299	6176
160	53,5	91,6	0	4	1464,5	92	946	56,15	86	95,125	24,90625	139907535	926,25	-25,3821034	-49,2299963	5816
161	52,8984375	90,4	0	4	1447,25	87	877	52,05	86	95,125	24,90625	139907535	928,375	-25,3822028	-49,2300856	5384
162	52,19921875	86,8	0	4	1432	80	806	47,85	86	95,125	24,90625	139907550	929,25	-25,3823041	-49,2301775	5384
163	51,59765625	86	0	4	1412,25	79	786	46,65	86	95,125	24,90625	139907550	930,25	-25,3825067	-49,230357	5995
164	50,59765625	89,6	0	4	1384,25	87	840	49,85	86	95,125	25	139907610	930,25	-25,3825067	-49,230357	5638
165	50	86,4	102	4	1368,375	82	797	47,3	86	95,125	25	139907610	931,125	-25,3825067	-49,230357	5435
166	49,19921875	84	0	4	1339,75	78	698	41,4	87	95,25	25	139907610	931,75	-25,3826078	-49,2304449	7608
167	48,296875	80,4	0	4	1313,5	78	733	43,5	87	95,25	25	139907620	932,5	-25,3826078	-49,2304449	6040
168	47,3984375	82,8	0	4	1292,625	74	675	40,05	87	95,25	25	139907620	932,5	-25,3827029	-49,2305304	5484
169	46,69921875	79,2	102	4	1279	74	686	40,7	87	95,25	25	139907650	932	-25,3827029	-49,2305304	5511
170	45,796875	75,6	102	4	1251,125	65	549	32,55	87	95,25	25	139907650	932	-25,3830812	-49,2308696	7697
171	44,796875	69,6	102	4	1223,75	54	466	27,65	87	95,25	25	139907690	933	-25,3830812	-49,2308696	6064
172	44	66,4	102	4	1200,75	49	417	24,75	87	95,25	25	139907690	933,375	-25,3832532	-49,231022	5795
173	42,69921875	48	102	4	1187,375	21	135	8	88	95,25	25	139907715	932,875	-25,3833441	-49,2311031	5499
174	40,69921875	46,4	0	4	1112,125	21	150	8,9	88	95,25	25	139907715	933,875	-25,3834306	-49,2311774	8120
175	39,59765625	52,8	0	4	1083	31	236	14	88	95,25	25	139907750	935,5	-25,383513	-49,2312549	6226
176	38,69921875	62,8	0	4	1051,625	47	329	19,5	88	95,25	25	139907750	936,875	-25,383513	-49,2312549	5726
177	38,3984375	63,2	0	4	1050,75	48	368	21,85	88	95,25	25	139907750	936,125	-25,3836592	-49,2313879	5575
178	37,8984375	54,8	0	4	1043,25	32	190	11,25	88	95,25	25	139907770	936,125	-25,3837429	-49,2314572	8205
179	37,5	50	0	4	1022,75	28	191	11,3	88	95,25	25	139907770	937,5	-25,3837429	-49,2314572	6150
180	37,09765625	52	102	4	1012,75	31	217	12,85	88	95,25	25	139907780	937,125	-25,3838046	-49,2315283	5745
181	37,09765625	54,4	0	4	1016,125	35	248	14,7	88	95,40625	25	139907780	937,75	-25,3838046	-49,2315283	5333
182	37,3984375	48	102	4	1023,25	30	272	16,15	88	95,40625	25	139907825	937,75	-25,3838778	-49,2315961	7730
183	37,3984375	52,8	102	4	1021,875	33	221	13,1	88	95,40625	25	139907825	937,25	-25,3838778	-49,2315961	6243
184	37,3984375	52,4	102	4	1023,375	31	207	12,25	88	95,40625	25	139907835	937,25	-25,3841578	-49,2318683	5774
185	37,5	57,6	102	4	1023,125	39	265	15,7	88	95,40625	25	139907835	935,125	-25,384227	-49,2319325	5588
186	37,69921875	59,6	102	4	1028,875	43	257	15,25	88	95,53125	25	139907835	934,5	-25,3842837	-49,2319977	7864
187	38,09765625	56	0	4	1042,75	37	265	15,7	88	95,53125	25	139907865	933,75	-25,3843533	-49,2320684	6145
188	38,09765625	54	102	4	1040	33	241	14,3	88	95,53125	25	139907865	933,625	-25,384423	-49,2321333	5791
189	38,296875	52,8	0	4	1044,75	36	376	22,3	88	95,53125	25	139907885	933,5	-25,3844986	-49,2322072	5645
190	38,09765625	52,8	0	4	1040,25	31	230	13,65	88	95,53125	25	139907885	933,5	-25,3844986	-49,2322072	7427
191	38,296875	61,2	0	4	1046,125	43	314	18,6	88	95,53125	25	139907910	935	-25,3846474	-49,2323389	5917
192	38,59765625	54,8	0	4	1056,625	37	337	20	88	95,96875	25	139907910	935,25	-25,3847216	-49,2324008	6410
193	39	66	0	4	1070,75	54	371	22	89	95,96875	25	139907940	935,625	-25,3847946	-49,232458	5460
194	39,59765625	68	0	4	1081,875	56	430	25,5	89	95,96875	25	139907940	935,625	-25,3847946	-49,232458	7720
195	40,19921875	65,6	0	4	1098,125	51	385	22,85	89	95,96875	25	139907940	936,875	-25,3848711	-49,2325231	6044
196	40,8984375	64,4	0	4	1119,5	50	439	26,05	89	95,96875	25	139907950	938	-25,3850347	-49,2326522	5835
197	41,19921875	62	0	4	1128	43	337	20	89	95,96875	25	139907950	937,375	-25,3851116	-49,2327119	5537
198	41,296875	42,4	102	4	1129,25	19	202	11,95	89	95,96875	25	139907975	937,625	-25,3851116	-49,2327119	7652
199	40,59765625	0	0	4	1112,375	0	0	0	89	96,25	25	139907975	938,25	-25,3851891	-49,2327813	6023
200	40	0	0	4	1092	0	0	0	89	96,25	25	139908005	939,375	-25,3852656	-49,2328516	6034
201	39,5	0	0	4	1078,625	0	0	0	89	96,25	25	139908005	939,5	-25,3854128	-49,2330022	5486
202	39,296875	0	0	4	1075,25	0	0	0	89	96,25	25	139908030	939,5	-25,3854128	-49,2330022	7474
203	39,3984375	0	102	4	1076,375	0	0	0	89	96,5	25	139908030	938,625	-25,3855624	-49,2331464	6109
204	39,59765625	0	102	4	1082	0	0	0	89	96,5	25	139908030	937	-25,3856302	-49,2332212	5770
205	40,296875	0	0	4	1103,75	0	0	0	89	96,5	25	139908060	938,25	-25,3857129	-49,2333028	5435
206	41,19921875	0	0	4	1129	0	0	0	89	96,5	25	139908060	939,25	-25,3857878	-49,23337	7619
207	42,296875	0	0	4	1158,75	0	0	0	89	96,5	24,90625	139908085	939,25	-25,3857878	-49,23337	6014
208	43,69921875	0	102	4	1199,375	0	0	0	90	96,5	24,90625	139908085	939,25	-25,385862	-49,2334313	5924
209	45,19921875	0	102	4	1241,125	0	0	0	90	96,5	24,90625	139908095	939,5	-25,385862	-49,2334313	5537
210	46,8984375	0	102	4	1289,375	0	0	0	90	96,5	24,90625	139908095	937,875	-25,3859364	-49,2335	7530
211	48,69921875	0	102	4	1338,625	0	0	0	90	96,65625	24,90625	139908145	937,875	-25,3860266	-49,2335667	6030
212	50,59765625	0	0	4	1382,875	0	0	0	90	96,65625	24,90625	139908145	936,5	-25,3860266	-49,2335667	5770
213	52,296875	0	102	4	1431,25	0	0	0	90	96,65625	24,90625	139908160	934	-25,3863744	-49,2338969	6072
214	54	0	0	4	1476,25	0	0	0	90	96,9375	24,90625	139908160	931,375	-25,3864712	-49,2339885	7301
215	55,5	0	0	4	1523,125	0	0	0	90	96,9375	24,90625	139908160	931,375	-25,3864712	-49,2339885	6239
216	54,5	0	18,8	4	1491,75	0	0	0	90	96,9375	24,90625	139908220	929,625	-25,3866735	-49,2341782	5899
217	52,69921875	0	16	4	1441,25	0	0	0	89	96,9375	24,90625	139908220	929,625	-25,3866735	-49,2341782	5715
218	50,5	0	0	4	1375,875	0	0	0	89	96,9375	24,90625	139908235	926,625	-25,3867774	-49,2342781	7150
219	52,59765625	0	0	4	1442,125	0	0	0	89	96,9375	24,90625	139908235	926,375	-25,3868811	-49,2343755	6239
220	54,296875	0	0	4	1485,125	0	0	0	89	97,0625	24,90625	139908260	925,625	-25,3870778	-49,2345681	5899
221	55,796875	0	0	4	1521,75	0	0	0	89	97,0625	24,90625	139908260	925,625	-25,3870778	-49,2345681	5715
222	57,09765625	0	0	4	1562,5	0	0	0	89	97,0625	24,71875	139908305	925	-25,3871799	-49,2346605	7150
223	58	0	102	4	1587,75	0	0	0	89	97,0625	24,71875	139908305	923,25	-25,3873833	-49,2348558	6239
224	58	0	102	4	1584,875	0	0	0	89	97,0625	24,71875	139908305	922,5	-25,3874967	-49,2349466	5899
225	58	0	0	4	1589,5	0	0	0	89	97,0625	24,71875	139908340	922,125	-25,3876047	-49,2350572	5715
226	57,796875	0	0	4	1582	0	0	0	89	97,0625	24,71875	139908340	922,125	-25,3876047	-49,2350572	7150
227	57,59765625	0	102	4	1577,875	0	0	0	89	97,0625	24,71875	139908385	921,625	-25,3878118	-49,23527	6036
